dork,url
inurl:index.php?id= site:fr,http://lactu.unistra.fr/index.php?id=10317
inurl:index.php?id= site:fr,http://www.lactu.unistra.fr/index.php?id=10314
inurl:index.php?id= site:fr,https://www.lactu.unistra.fr/index.php?id=10318
inurl:index.php?id= site:fr,http://www.ec-epiais-rhus.ac-versailles.fr/cycle1/annee20152016/les-anniversaires/index.php
inurl:index.php?id= site:fr,http://icube-bfo.unistra.fr/en/index.php/LBGI
inurl:index.php?id= site:fr,https://cher.unistra.fr/index.php?id=5619&tx_ttnews%5Btt_news%5D=10159&cHash=51998e08b6a1674de4ad8de469d9b5ca
inurl:index.php?id= site:fr,https://cher.unistra.fr/index.php?id=5619&tx_ttnews%5Btt_news%5D=11000&cHash=f55648fcd69494015e76112444ff4eea
inurl:index.php?id= site:fr,http://platine.univ-lorraine.fr/index.php?id=2
inurl:index.php?id= site:fr,https://pepiniere.u-bourgogne.fr/interfaces/index.php?id=302
inurl:index.php?id= site:com,https://www.ionos.com/terms-gtc/index.php?id=6
inurl:index.php?id= site:com,http://www.springfieldcityhall.com/index.php?id=covid
inurl:index.php?id= site:com,http://www.taanilinna.com/index.php?id=325
inurl:index.php?id= site:com,https://www.indianz.com/m.asp?url=https://www.gaming.ny.gov/gaming/index.php?ID=1
inurl:index.php?id= site:com,https://www.springfieldcityhall.com/housing/index.php?id=66
inurl:index.php?id= site:com,https://www.agisoft.com/index.php?id=71
inurl:index.php?id= site:com,https://www.springfieldcityhall.com/cos/index.php?id=moci
inurl:index.php?id= site:com,https://m.visitortips.com/go2/?lsid=0&l=39955&url=http%3A%2F%2Fwww.baylor.edu%2Fmayborn%2Findex.php%3Fid%3D931369%23tickets
inurl:index.php?id= site:com,http://www.harkavagrant.com/index.php?id=32
inurl:index.php?id= site:com,http://naset-upgrade.ciclabs.com/index.php?id=2522
inurl:index.php?id= site:com,http://virginiafieldtrips.com/index.php?id=163
inurl:index.php?id= site:com,https://stackoverflow.com/questions/33517582/remove-id-and-index-php-via-htaccess-in-subdirectory
inurl:index.php?id= site:com,https://wiki.jriver.com/index.php/Id
inurl:index.php?id= site:com,https://www.pwaworldtour.com/index.php?id=2244
inurl:index.php?id= site:com,https://t.umblr.com/redirect?z=http%3A%2F%2Fwww.jpl.nasa.gov%2Fvideo%2Findex.php%3Fid%3D1090&t=ZWI2NDAxNGQxOTRhZDBiZWI2YmNhYjViMTQ0NzQ5NWFhMWM2N2IzZSxMaHJNakd2NQ%3D%3D&b=t%3A86DgZqW5-xFO2vxTbc_BOA&p=https%3A%2F%2Fastroquizzical.tumblr.com%2Fpost%2F81128447443%2Fwhat-is-the-speed-of-light-equivalent-to&m=1
inurl:index.php?id= site:com,https://www.ablelinktech.com/index.php?id=33
inurl:index.php?id= site:com,http://pyroswitch.com/index.php?id=3
inurl:index.php?id= site:com,https://www.compassboxwhisky.com/whiskies/index.php?id=20
inurl:index.php?id= site:com,https://training.fortinet.com/login/index.php
inurl:index.php?id= site:com,https://www.knipex.com/index.php?id=1216&page=group_detail&groupID=1500
inurl:index.php?id= site:com,http://azdhs.com/licensing/medical-marijuana/index.php
inurl:index.php?id= site:com,http://www.sleemainz.com/index.php?id=72&L=1
inurl:index.php?id= site:com,https://services.jsatech.com/index.php?cid=87
inurl:index.php?id= site:com,http://www.bmsspeakers.com/index.php?id=bms_4591
inurl:index.php?id= site:com,https://support.respondus.com/support/index.php?/Knowledgebase/Article/View/292/25/how-do-i-install-lockdown-browser
inurl:index.php?id= site:com,http://www.feuer-usa.com/index.php?id=48
inurl:index.php?id= site:com,https://www.palsystem.com/index.php?id=819
inurl:index.php?id= site:com,http://mmaglobal.com/modules/content/index.php?id=6
inurl:index.php?id= site:com,http://www.susanasoares.com/index.php?id=56
